google_address,Predicted AirBNB Price,Zillow List Price,Bathrooms,Bedrooms,Zipcode,Neighborhood,Lat,Long
21809 Southeast Ankeny Street,139.23416934115116,540000,4.0,3.0,97030,North Central,45.52225113,-122.4378357
601 Northeast 25th Street,115.65368147294458,427000,3.0,3.0,97030,North Central,45.51455688,-122.4249268
18436 Southeast Mill Street,132.12429967316595,386000,2.0,4.0,97233,Centennial,45.5102005,-122.4728775
1782 Northwest Wonderview Avenue,116.66532467967643,490000,3.0,3.0,97030,Northwest,45.51040649,-122.4513626
3180 Northeast Cleveland Avenue,192.08591972589073,409950,4.0,4.0,97030,North Central,45.51952744,-122.4208832
3160 Northeast Cleveland Avenue,192.08591972589073,410950,4.0,4.0,97030,North Central,45.51952744,-122.4204941
3140 Northeast Cleveland Avenue,192.08591972589073,408950,4.0,4.0,97030,North Central,45.51929474,-122.4204941
21118 Southeast Taylor Court,197.77669437421713,408000,2.0,5.0,97030,North Central,45.51517487,-122.4459534
894 Northeast 166th Avenue,170.4551432985091,470000,3.0,4.0,97230,Wilkes East,45.52930832,-122.491333
823 Northeast 199th Avenue,163.272476530713,385000,3.0,4.0,97230,North Gresham,45.52907562,-122.4581985
16905 Northeast Couch Court,66.39584435042897,347900,1.0,3.0,97230,Rockwood,45.52336121,-122.4889755
2133 Northeast 166th Drive,170.4551432985091,469900,3.0,4.0,97230,Wilkes East,45.53873444,-122.4914856
1131 Northeast 195th Avenue,139.69198866250642,360000,2.0,4.0,97230,North Gresham,45.53141403,-122.4624634
17011 Northeast Everett Street,142.82808260337515,349000,2.0,4.0,97230,Rockwood,45.52502823,-122.4874268
18649 Northeast Multnomah Street,110.42072614597342,397500,3.0,3.0,97230,North Gresham,45.53223038,-122.4708939
260 Northeast 197th Avenue,89.97633221863556,340000,2.0,3.0,97230,Rockwood,45.52434158,-122.4596481
432 Northwest 25th Street,115.65368147294458,399900,3.0,3.0,97030,North Central,45.51433563,-122.4357986
22035 Southeast Ankeny Street,15.640955351791845,190000,1.0,2.0,97030,North Central,45.52214813,-122.4348221
2260 Northeast Francis Court,104.57158778355358,173000,2.5,3.0,97030,Northeast,45.51255035,-122.4111404
340 Northeast 19th Street,92.07319360473801,335000,2.0,3.0,97030,North Central,45.5102272,-122.4275513
190 Northeast 27th Street,168.50543185768416,425000,3.0,4.0,97030,North Central,45.51594162,-122.4280319
380 Northeast 19th Street,68.49270573653143,338000,1.0,3.0,97030,North Central,45.5102272,-122.4269638
18635 Southeast Stephens Circle,132.12429967316595,380000,2.0,4.0,97233,Centennial,45.50989914,-122.470871
18566 Northeast Wasco Street,22.198243958923953,185000,1.5,2.0,97230,North Gresham,45.53175354,-122.472229
1038 Southeast 207th Avenue,144.92494398947758,396000,2.0,4.0,97030,North Central,45.51491165,-122.4512329
846 Northeast 28th Street,92.07319360473801,377000,2.0,3.0,97030,North Central,45.51680374,-122.4223328
2048 Northeast 36th Court,92.07319360473801,350000,2.0,3.0,97030,North Central,45.52239227,-122.4113388
1222 Northeast 195th Avenue,110.42072614597342,375000,3.0,3.0,97230,North Gresham,45.53183746,-122.4618988
16909 Northeast Halsey Street,64.75164252902997,269000,3.0,2.0,97230,Wilkes East,45.53481293,-122.4888611
25-29 Northeast 179th Avenue,166.40857047158173,360000,3.0,4.0,97230,Rockwood,45.52233887,-122.4789581
18330 Southeast Yamhill Street,89.89480295911079,326000,2.0,3.0,97233,Rockwood,45.5151825,-122.4740677
946 Northeast 191st Avenue,63.25975040956025,339000,1.0,3.0,97230,North Gresham,45.52992249,-122.4663925
2055 Northeast Hood Avenue,68.49270573653143,325000,1.0,3.0,97030,North Central,45.51156235,-122.4271317
1014 Northeast 177th Avenue,94.02290504556296,345000,2.0,3.0,97230,Wilkes East,45.53027725,-122.4806976
725 Northeast 191st Avenue,86.84023827776683,345000,2.0,3.0,97230,North Gresham,45.5281868,-122.4672928
925 Southeast 180th Avenue,66.31431509090422,285000,1.0,3.0,97233,Rockwood,45.51584244,-122.4780731
1345 Southeast 175th Place,132.12429967316595,358000,2.0,4.0,97233,Centennial,45.51299286,-122.4831696
17736 Northeast Couch Street,89.97633221863556,388900,2.0,3.0,97230,Rockwood,45.52285004,-122.4801636
636 Northeast 190th Avenue,139.69198866250642,11000,2.0,4.0,97230,North Gresham,45.52762604,-122.4677582
22527 Southeast Morrison Court,68.49270573653143,320000,1.0,3.0,97030,North Central,45.51656723,-122.4310379
